Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
29.05.12;16.2688;18.2996;18.5321;18.7594;20.4572;17.5554
30.05.12;18.1072;19.7809;19.7463;19.6704;21.3029;18.0707
31.05.12;19.7895;21.0638;20.8104;20.6943;22.3785;18.4405
01.06.12;20.6637;22.1046;21.9997;21.7559;23.2948;18.6718
04.06.12;21.8571;22.7404;22.4025;22.1199;23.7157;18.7347
05.06.12;19.6625;21.9147;21.8869;21.7757;23.4972;18.5787
06.06.12;17.998;20.9174;21.109;21.2275;22.6654;18.138
07.06.12;17.7909;20.2884;20.4837;20.9003;22.0611;18.0291
08.06.12;16.7439;20.015;20.4213;20.7589;22.0797;17.9893
11.06.12;19.8975;19.9432;20.3043;20.62;21.8942;17.8981
12.06.12;18.425;20.169;20.3323;20.303;21.6783;17.8806
13.06.12;18.8673;20.6281;20.6494;20.5982;21.623;17.9142
14.06.12;18.8673;21.2272;20.9542;20.7353;21.7546;17.9874
15.06.12;18.8673;21.0017;20.8006;20.7402;21.9469;18.0494
18.06.12;17.9972;18.8534;19.5065;21.0931;17.636;18.7717
19.06.12;15.7546;17.1502;18.1564;20.2761;17.142;18.3378
20.06.12;16.0745;17.1609;18.0804;19.9238;17.1704;18.3425
21.06.12;14.9024;16.4352;17.5772;19.5054;16.9606;18.1275
22.06.12;14.9455;16.53;17.8068;19.6575;17.0923;18.2477
25.06.12;16.5371;17.7086;18.8655;20.3787;17.404;18.5322
26.06.12;16.1752;17.1835;18.3756;20.1773;17.2165;18.4516
27.06.12;15.9222;16.6349;17.874;19.7848;16.9967;18.2211
28.06.12;16.8453;17.1748;18.1151;19.9558;17.131;18.2242
29.06.12;14.7969;15.3232;16.803;19.0604;16.7095;18.0592
02.07.12;14.9075;15.0134;16.1684;18.336;16.4294;17.5653
03.07.12;13.6754;14.0158;15.3881;17.5588;16.0797;17.2494
04.07.12;13.5267;14.2913;15.5519;17.657;16.217;17.3707
05.07.12;14.0148;14.7219;15.8277;17.764;16.2992;17.4533
06.07.12;13.7786;14.5752;16.044;17.8791;16.3605;17.5259
09.07.12;15.067;15.1192;16.4629;18.1812;16.5219;17.7159
10.07.12;14.469;14.6867;16.062;18.0663;16.4558;17.5391
11.07.12;14.2425;14.5927;16.0512;18.1336;16.5006;17.661
12.07.12;14.7352;14.8312;16.4332;18.3439;16.6602;17.8268
13.07.12;12.9651;14.1706;15.796;17.8673;16.4587;17.5502
16.07.12;14.6304;14.2881;15.7705;17.6823;16.4411;17.5484
17.07.12;14.2083;13.7245;15.4787;17.375;16.3509;17.5133
18.07.12;13.7874;12.9699;14.7856;16.7466;15.9385;17.1124
19.07.12;13.7874;12.5955;14.2229;16.1898;15.7698;16.9219
20.07.12;13.7874;13.7902;15.2978;16.9783;16.1254;17.356
23.07.12;16.3048;17.1545;15.2978;18.7503;16.9405;18.0612
24.07.12;16.2057;17.3495;17.1387;18.8364;17.2046;18.224
25.07.12;15.6916;16.8384;17.1627;18.7034;17.0804;18.1219
26.07.12;14.4177;15.9725;16.3058;17.8749;16.7852;17.824
27.07.12;13.8759;15.5074;15.7179;17.0456;16.5033;17.4804
30.07.12;14.5737;15.2289;15.5556;17.0576;16.4555;17.4363
31.07.12;14.9999;15.5519;15.9806;17.2423;16.5402;17.5707
01.08.12;14.9999;15.5519;15.9806;17.2423;16.5402;17.5707
02.08.12;14.1909;14.807;15.5601;16.7833;16.2683;17.3705
03.08.12;12.9276;13.6759;14.5574;16.1308;15.9217;16.9993
06.08.12;13.5517;13.8505;14.4958;16.1323;15.9671;17.0374
07.08.12;13.9249;14.0134;14.5171;16.061;15.9837;17.1021
08.08.12;13.6931;14.0958;14.6859;16.0957;16.0911;17.1518
09.08.12;13.5496;13.6905;14.2811;15.6426;15.8088;16.9262
10.08.12;12.981;13.6404;14.3747;15.6929;15.9327;17.0961
13.08.12;15.4035;13.7756;14.5386;15.9792;16.0173;17.1799
14.08.12;14.1548;13.4641;14.3315;15.8611;16.05;17.1816
15.08.12;14.582;13.8195;14.8139;16.1437;16.0592;17.2101
16.08.12;14.582;13.8621;14.9719;16.3837;16.2441;17.3673
17.08.12;14.582;13.5701;14.5483;16.5861;16.4138;17.4705
20.08.12;14.0571;15.0581;14.5483;16.8513;16.6432;17.8193
21.08.12;14.1499;15.0789;15.6849;17.0815;16.8142;17.9105
22.08.12;15.5064;16.1218;16.3368;17.9522;17.3057;18.2997
23.08.12;15.6001;16.3488;16.9029;18.2417;17.5363;18.6184
24.08.12;14.3259;15.619;16.35;17.739;17.3185;18.4597
27.08.12;14.8469;15.782;16.3605;17.8505;17.3439;18.4831
28.08.12;15.2681;16.2265;16.7319;17.9896;17.6674;18.8051
29.08.12;15.5386;16.5335;16.9981;18.2651;17.7372;18.8024
30.08.12;16.4382;17.3028;17.5882;18.8998;18.0196;19.04
31.08.12;15.6593;16.6602;17.0892;18.3848;17.7536;18.8436
03.09.12;15.9178;16.6055;16.9782;18.1405;17.6418;18.7332
04.09.12;16.9523;17.2624;17.3739;18.5299;17.9035;18.9564
05.09.12;16.2979;16.5966;16.7986;17.8461;17.4134;18.5268
06.09.12;14.1387;14.4901;15.0757;16.4507;16.501;17.8446
07.09.12;13.2941;13.7637;14.754;16.2253;16.4297;17.6482
10.09.12;14.4069;14.4193;15.0072;16.455;16.6068;17.7673
11.09.12;15.2547;14.7468;15.1085;16.4883;16.6868;17.8442
12.09.12;14.4004;14.4859;14.8286;16.5587;16.5644;17.7796
13.09.12;13.6816;14.0612;14.4988;16.2077;16.3271;17.5309
14.09.12;12.2238;13.2084;13.574;15.6323;16.0122;17.3334
17.09.12;13.9796;13.2149;13.8564;15.6795;16.0594;17.4333
18.09.12;13.2727;13.3399;13.869;15.5515;16.1112;17.446
19.09.12;14.2677;12.3995;13.2496;15.2244;15.981;17.3622
20.09.12;14.2677;12.1571;13.0974;15.0892;15.9477;17.3286
21.09.12;14.2677;11.3283;12.4132;14.6592;15.4799;16.9757
24.09.12;12.1078;12.6928;14.8734;15.6961;17.1366;16.9757
25.09.12;11.6809;12.4999;14.4574;15.4334;16.8097;11.3989
26.09.12;12.4919;13.0904;15.0835;15.9564;17.1044;11.1317
27.09.12;12.4712;12.888;14.9713;15.6245;16.9029;11.1865
28.09.12;12.6993;13.0143;14.8393;15.6221;16.8781;11.4254
01.10.12;11.9484;12.3211;14.0759;15.0438;16.3673;14.5151
02.10.12;11.9921;12.3718;13.8817;15.0616;16.4462;14.509
03.10.12;11.9546;12.3074;13.8578;15.0325;16.4866;14.5354
04.10.12;11.547;11.9307;13.4492;14.7386;16.3435;14.49
05.10.12;10.9709;11.4683;13.1178;14.4679;16.0412;14.3322
08.10.12;12.0288;11.77;13.3343;14.596;16.1706;14.4644
09.10.12;12.9394;11.7873;13.424;14.5947;16.0108;14.354
10.10.12;13.6573;12.0025;13.6791;14.7375;16.1545;14.3827
11.10.12;12.2776;11.5578;13.2732;14.5043;15.8986;14.2205
12.10.12;12.0714;11.5098;13.2764;14.4056;15.8435;14.1652
15.10.12;13.183;11.4239;12.9533;14.1012;15.5474;14.0198
16.10.12;12.2647;11.021;12.4211;13.8835;15.3182;13.8515
